Lugar;Sitio;Casa;Altitud;Pendiente;Prom_sotob;PROM_BAMBU;Cob_dosel_Superior;Riqueza_ARB;DAP;Cavidades;Descomposicion
LLA ;3;125;1068.2;2;7.4;1.6;2;2;22.28163993;0;1
LLA ;3;127;1072.3;1;10.6;7.8;3;2;56.51477591;9;1.25
LLA ;3;128;1075.8;2;2.4;1.2;2;1;27.14885954;0;1.857142857
LLA ;3;129;1082.6;2;3.4;2;3;1;38.71912401;0;1.5
LLA ;3;132;1090.6;2;3.6;2;2;1;17.02953909;0;1
LLA ;3;133;1082.3;3;5.2;2.8;3;1;22.32761792;0;1.555555556
LLA ;3;134;1088.4;2;2;0;3;1;29.67116929;0;1.727272727
LLA ;3;135;1091;2;3;0.4;3;1;23.07463481;0;1.727272727
LLA ;3;136;1090;3;9.4;4.6;3;1;17.34466514;0;1.3
LLA ;3;137;1090.6;2;5.2;2.4;3;1;20.27465835;0;1.583333333
LLA ;3;138;1099;3;7.4;2.4;3;1;22.4051075;0;1.5
LLA ;3;140;1058.4;2;5.4;0.8;3;1;23.01829823;0;1.571428571
LLA ;3;141;1061.7;3;1;0.6;4;2;33.87206095;1;1.666666667
LLA ;3;142;1065.6;2;3.8;1.8;3;2;34.5683728;0;2
LLA ;3;143;1063.8;2;1.8;0.6;3;1;25.69911601;1;2
LLA ;3;144;1056.1;2;2;1.2;3;1;34.36287242;0;2
LLA ;3;145;1063.9;2;3;0.4;3;1;45.07813428;0;2
LLA ;3;146;1055.1;2;4.2;1.2;3;1;16.40391308;0;2
LLA ;3;147;1048;0;3.4;0;2;1;76;0;2
LLA ;3;151;1035;0;3.4;0.6;3;1;18.21755369;0;1.777777778
LLA ;3;152;1031.6;0;4.4;0.4;3;3;25.70690094;1;1.375
LLA ;3;153;1031;0;5.8;0.6;4;2;23.08725915;2;1.222222222
LLA ;3;154;1031.4;0;13.4;4.6;4;3;24.27047183;1;1.571428571
LLA ;3;155;1048.7;0;0.8;4.6;4;1;32.17044394;0;2
LLA ;3;156;1052.5;1;2.4;0.6;4;2;34.06251592;0;2
LLA ;3;159;1101.5;3;1.4;0.6;3;1;20.3939012;0;1.6
